,Irradiance,IrradianceNotCompensated,BodyTemperature,RelativeHumidity,HumidityTemp,Pressure,PressureAvg,PressureTemp,PressureTempAvg,TiltAngle,TiltAngleAvg,FanSpeed,HeaterCurrent,FanCurrent,SunAzimuth,SunZenith
count,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0
mean,286.626973046875,286.2447140625,19.140373046875,3.0583523437499998,20.57127734375,1020.9281506347656,1020.921728515625,19.489698028564455,19.48807846069336,0.131040234375,0.11168593750000001,9103.142265625,0.32897480468750007,0.0674514453125,181.591711128139,27.620038374409223
std,282.0373561850219,281.63745233711387,9.03995673505612,1.7056984629322518,9.012956751646025,32.66203786489289,32.66447200575243,9.401373575387959,9.401591143138665,0.0727437417332227,0.023319099868320346,133.07101542793276,0.0020724857152372377,0.0011336978315280302,63.948380044358366,17.687966455656227
min,-0.63,-0.62,-9.13,0.0,-7.7,931.4375,931.46875,-10.0625,-10.0625,0.0,0.03,8779.0,0.32,0.064,53.431748692439,-0.264616192220895
25%,53.0025,52.917500000000004,11.78,1.78,13.2375,995.5859375,995.59375,11.8505859375,11.84375,0.1,0.09,8992.0,0.328,0.067,127.29159308585524,13.610724126246076
50%,175.94,175.66,19.77,3.32,21.2,1022.71875,1022.6875,20.140625,20.140625,0.12,0.11,9095.0,0.329,0.067,181.94843394084648,24.6514666719767
75%,466.0425,465.7775,26.6,4.38,28.0,1048.5,1048.5078125,27.23828125,27.2392578125,0.15,0.13,9206.0,0.33,0.068,235.40147450404274,40.824862824657274
max,1440.55,1440.2,41.0,6.79,42.35,1100.0625,1100.21875,42.26171875,42.26171875,2.08,0.18,9490.0,0.337,0.073,306.624086676195,66.5073883050008
